date,ratingScore,reviewTitle,reviewDescription,texto_completo,texto_limpo,sentimento,palavra_chave,variant,country
29-07-2023,5,Good phone obviously ðŸ™„,"I m a first time user of an IPhone, and i can tell if u learn how to use it then it is smooth as butter. The purple colour is so beautiful ðŸ˜»","Good phone obviously ðŸ™„ I m a first time user of an IPhone, and i can tell if u learn how to use it then it is smooth as butter. The purple colour is so beautiful ðŸ˜»",good phone obviously ðÿ i m a first time user of an iphone and i can tell if u learn how to use it then it is smooth as butter the purple colour is so beautiful ðÿ,positivo,"good, phone, obviously, ðÿ, first, time, user, iphone, tell, u, learn, use, smooth, butter, purple, colour, beautiful, ðÿ",Colour: PurpleSize: 128 GB,India
18-07-2023,5,It's iPhone. Everbody know how it is.,"Everything is good but battery life degraded to 98% in just 2 months. Apple can do much better here. Apart from this everything is good. Check out youtube videos for performance, camera and battery life","It's iPhone. Everbody know how it is. Everything is good but battery life degraded to 98% in just 2 months. Apple can do much better here. Apart from this everything is good. Check out youtube videos for performance, camera and battery life",its iphone everbody know how it is everything is good but battery life degraded to 98 in just 2 months apple can do much better here apart from this everything is good check out youtube videos for performance camera and battery life,positivo,"iphone, everbody, know, everything, good, battery, life, degraded, months, apple, much, better, apart, everything, good, check, youtube, videos, performance, camera, battery, life",Colour: PurpleSize: 128 GB,India
17-10-2023,5,Awesome phoneðŸ˜,"Iâ€™m impressed with Iphone. Itâ€™s fast, has a great camera, and the battery life is excellent. A solid upgrade!","Awesome phoneðŸ˜ Iâ€™m impressed with Iphone. Itâ€™s fast, has a great camera, and the battery life is excellent. A solid upgrade!",awesome phoneðÿ iâm impressed with iphone itâs fast has a great camera and the battery life is excellent a solid upgrade,positivo,"awesome, phoneðÿ, iâm, impressed, iphone, itâs, fast, great, camera, battery, life, excellent, solid, upgrade",Colour: PurpleSize: 128 GB,India
17-11-2023,5,Amazing ðŸ¤©,"Display is amazing, amazing sound quality, best in quality, good battery life","Amazing ðŸ¤© Display is amazing, amazing sound quality, best in quality, good battery life",amazing ðÿ display is amazing amazing sound quality best in quality good battery life,positivo,"amazing, ðÿ, display, amazing, amazing, sound, quality, best, quality, good, battery, life",Colour: PurpleSize: 128 GB,India
20-10-2023,5,Worthy,Using it and itâ€™s so value for money.,Worthy Using it and itâ€™s so value for money.,worthy using it and itâs so value for money,positivo,"worthy, using, itâs, value, money",Colour: PurpleSize: 128 GB,India
04-09-2023,5,Genuine product,The product received is genuine.It was received within the laid out time frame.Excellent seller and nice product.,Genuine product The product received is genuine.It was received within the laid out time frame.Excellent seller and nice product.,genuine product the product received is genuineit was received within the laid out time frameexcellent seller and nice product,positivo,"genuine, product, product, received, genuineit, received, within, laid, time, frameexcellent, seller, nice, product",Colour: PurpleSize: 128 GB,India
12-09-2023,5,Very good product,Excellent product,Very good product Excellent product,very good product excellent product,positivo,"good, product, excellent, product",Colour: PurpleSize: 128 GB,India
15-08-2023,5,Good,Good,Good Good,good good,positivo,"good, good",Colour: PurpleSize: 128 GB,India
27-09-2023,5,Itâ€™s iphone just loving it !,No Regret,Itâ€™s iphone just loving it ! No Regret,itâs iphone just loving it  no regret,positivo,"itâs, iphone, loving, regret",Colour: PurpleSize: 128 GB,India
23-04-2023,5,Nice packing and product,"So far so goodThe packing is awesome as usually the product came with iphone, charging cable and pin for the sim.","Nice packing and product So far so goodThe packing is awesome as usually the product came with iphone, charging cable and pin for the sim.",nice packing and product so far so goodthe packing is awesome as usually the product came with iphone charging cable and pin for the sim,positivo,"nice, packing, product, far, goodthe, packing, awesome, usually, product, came, iphone, charging, cable, pin, sim",Colour: PurpleSize: 128 GB,India
28-07-2023,5,wow for this,nice but camera bot good,wow for this nice but camera bot good,wow for this nice but camera bot good,positivo,"wow, nice, camera, bot, good",Colour: PurpleSize: 128 GB,India
10-05-2023,5,Best,my first iphone is iphone 14 . It gives you rich feeling. must buy,Best my first iphone is iphone 14 . It gives you rich feeling. must buy,best my first iphone is iphone 14  it gives you rich feeling must buy,positivo,"best, first, iphone, iphone, gives, rich, feeling, must, buy",Colour: PurpleSize: 128 GB,India
10-07-2023,5,Superb,Amazing experience a well  organised exchange with latest phone,Superb Amazing experience a well  organised exchange with latest phone,superb amazing experience a well  organised exchange with latest phone,positivo,"superb, amazing, experience, well, organised, exchange, latest, phone",Colour: PurpleSize: 128 GB,India
30-07-2023,5,Apple best,best,Apple best best,apple best best,positivo,"apple, best, best",Colour: PurpleSize: 128 GB,India
23-07-2023,5,Gud n fast delivery,Love this product,Gud n fast delivery Love this product,gud n fast delivery love this product,positivo,"gud, n, fast, delivery, love, product",Colour: PurpleSize: 128 GB,India
30-07-2023,5,Wat can go wrong with an iPhone,Awesome variant,Wat can go wrong with an iPhone Awesome variant,wat can go wrong with an iphone awesome variant,positivo,"wat, go, wrong, iphone, awesome, variant",Colour: PurpleSize: 128 GB,India
30-05-2024,4,Performance and ease of use,Main advantage is ease of use and performance. Phone never slows down even after your storage is almost fullDisadvantage is too much restrictions on media sharing and storage.,Performance and ease of use Main advantage is ease of use and performance. Phone never slows down even after your storage is almost fullDisadvantage is too much restrictions on media sharing and storage.,performance and ease of use main advantage is ease of use and performance phone never slows down even after your storage is almost fulldisadvantage is too much restrictions on media sharing and storage,positivo,"performance, ease, use, main, advantage, ease, use, performance, phone, never, slows, even, storage, almost, fulldisadvantage, much, restrictions, media, sharing, storage",Colour: YellowSize: 128 GB,India
14-07-2023,4,A decent buy,"Im a first time iphone user, not regretting the decision of switching from android.Iphone just flows. Buy without any doubt.Delivery was poor though.","A decent buy Im a first time iphone user, not regretting the decision of switching from android.Iphone just flows. Buy without any doubt.Delivery was poor though.",a decent buy im a first time iphone user not regretting the decision of switching from androidiphone just flows buy without any doubtdelivery was poor though,negativo,"decent, buy, im, first, time, iphone, user, regretting, decision, switching, androidiphone, flows, buy, without, doubtdelivery, poor, though",Colour: YellowSize: 128 GB,India
24-11-2023,5,Uses,"So beautiful,So elegant,just looking like a wow.Seriously you donâ€™t have to read out all comments because it is apple.Everything is outstanding.Value for money depends on user.Otherwise no restriction,just go for it.","Uses So beautiful,So elegant,just looking like a wow.Seriously you donâ€™t have to read out all comments because it is apple.Everything is outstanding.Value for money depends on user.Otherwise no restriction,just go for it.",uses so beautifulso elegantjust looking like a wowseriously you donât have to read out all comments because it is appleeverything is outstandingvalue for money depends on userotherwise no restrictionjust go for it,positivo,"uses, beautifulso, elegantjust, looking, like, wowseriously, donât, read, comments, appleeverything, outstandingvalue, money, depends, userotherwise, restrictionjust, go",Colour: YellowSize: 128 GB,India
29-01-2024,5,"Everything is good ,",No problem in this mobile 14.Also Quick service from Amazon thanks from Shailesh Nanavati,"Everything is good , No problem in this mobile 14.Also Quick service from Amazon thanks from Shailesh Nanavati",everything is good  no problem in this mobile 14also quick service from amazon thanks from shailesh nanavati,positivo,"everything, good, problem, mobile, quick, service, amazon, thanks, shailesh, nanavati",Colour: YellowSize: 128 GB,India
18-02-2024,5,Value for money,What to write of an iPhone?? Best as always,Value for money What to write of an iPhone?? Best as always,value for money what to write of an iphone best as always,positivo,"value, money, write, iphone, best, always",Colour: YellowSize: 128 GB,India
26-09-2023,5,price was very good affordable,"very good sound quality,....smooth, and good battery lifevery happy with the product ..","price was very good affordable very good sound quality,....smooth, and good battery lifevery happy with the product ..",price was very good affordable very good sound qualitysmooth and good battery lifevery happy with the product ,positivo,"price, good, affordable, good, sound, qualitysmooth, good, battery, lifevery, happy, product",Colour: YellowSize: 128 GB,India
22-10-2023,5,Awesome,A Gem â¤ï¸,Awesome A Gem â¤ï¸,awesome a gem âï,positivo,"awesome, gem, âï",Colour: YellowSize: 128 GB,India
10-09-2023,5,Nice delivery and packaging,The best mobile to handle nice packaging and delivery claps for amazon,Nice delivery and packaging The best mobile to handle nice packaging and delivery claps for amazon,nice delivery and packaging the best mobile to handle nice packaging and delivery claps for amazon,positivo,"nice, delivery, packaging, best, mobile, handle, nice, packaging, delivery, claps, amazon",Colour: YellowSize: 128 GB,India
28-08-2023,5,Animal footprint,Value for money,Animal footprint Value for money,animal footprint value for money,positivo,"animal, footprint, value, money",Colour: YellowSize: 128 GB,India
29-08-2023,5,Wow.,Itâ€™s superâ€¦.,Wow. Itâ€™s superâ€¦.,wow itâs superâ,positivo,"wow, itâs, superâ",Colour: YellowSize: 128 GB,India
06-09-2023,5,Yellow colour â¤ï¸ðŸ˜,,Yellow colour â¤ï¸ðŸ˜ ,yellow colour âïðÿ ,neutro,"yellow, colour, âïðÿ",Colour: YellowSize: 128 GB,India
20-07-2023,4,"iPhone 14's camera system takes pro-grade photos and videos, turning users into creators on the go.","The Apple iPhone 14 (128 GB) in vibrant Yellow is a masterpiece of technology and aesthetics, and it leaves a remarkable impression from the moment one lays their eyes on it. As expected from Apple, the build quality is exceptional, emanating a sense of luxury and durability. Notably, the yellow color adds a unique touch of personality, giving it a refreshing twist over the usual shades. Furthermore, with a storage capacity of 128 GB, the user won't need to worry about running out of space for their apps, music, or memorable pictures.When it comes to performance, the iPhone 14 outshines its predecessors. This device runs seamlessly, even when multitasking between numerous high-demand apps, showcasing the prowess of Apple's latest A16 chip. Also, the updated iOS provides an intuitive, smooth experience for the user, further augmented by the phone's vibrant and sharp display. Remarkably, even after several hours of use, the device maintains its cool, indicating efficient thermal management.Equally worth mentioning is the improved camera system on the iPhone 14. With advanced settings and filters, it captures stunning photos with professional-level detail and color accuracy. In addition, its video capabilities are second to none, making it a perfect companion for vloggers and content creators. In summary, the Apple iPhone 14 (128 GB) - Yellow not only stands out aesthetically but also raises the bar for smartphone performance and features. It's indeed a perfect blend of form and function.","iPhone 14's camera system takes pro-grade photos and videos, turning users into creators on the go. The Apple iPhone 14 (128 GB) in vibrant Yellow is a masterpiece of technology and aesthetics, and it leaves a remarkable impression from the moment one lays their eyes on it. As expected from Apple, the build quality is exceptional, emanating a sense of luxury and durability. Notably, the yellow color adds a unique touch of personality, giving it a refreshing twist over the usual shades. Furthermore, with a storage capacity of 128 GB, the user won't need to worry about running out of space for their apps, music, or memorable pictures.When it comes to performance, the iPhone 14 outshines its predecessors. This device runs seamlessly, even when multitasking between numerous high-demand apps, showcasing the prowess of Apple's latest A16 chip. Also, the updated iOS provides an intuitive, smooth experience for the user, further augmented by the phone's vibrant and sharp display. Remarkably, even after several hours of use, the device maintains its cool, indicating efficient thermal management.Equally worth mentioning is the improved camera system on the iPhone 14. With advanced settings and filters, it captures stunning photos with professional-level detail and color accuracy. In addition, its video capabilities are second to none, making it a perfect companion for vloggers and content creators. In summary, the Apple iPhone 14 (128 GB) - Yellow not only stands out aesthetically but also raises the bar for smartphone performance and features. It's indeed a perfect blend of form and function.",iphone 14s camera system takes prograde photos and videos turning users into creators on the go the apple iphone 14 128 gb in vibrant yellow is a masterpiece of technology and aesthetics and it leaves a remarkable impression from the moment one lays their eyes on it as expected from apple the build quality is exceptional emanating a sense of luxury and durability notably the yellow color adds a unique touch of personality giving it a refreshing twist over the usual shades furthermore with a storage capacity of 128 gb the user wont need to worry about running out of space for their apps music or memorable pictureswhen it comes to performance the iphone 14 outshines its predecessors this device runs seamlessly even when multitasking between numerous highdemand apps showcasing the prowess of apples latest a16 chip also the updated ios provides an intuitive smooth experience for the user further augmented by the phones vibrant and sharp display remarkably even after several hours of use the device maintains its cool indicating efficient thermal managementequally worth mentioning is the improved camera system on the iphone 14 with advanced settings and filters it captures stunning photos with professionallevel detail and color accuracy in addition its video capabilities are second to none making it a perfect companion for vloggers and content creators in summary the apple iphone 14 128 gb  yellow not only stands out aesthetically but also raises the bar for smartphone performance and features its indeed a perfect blend of form and function,positivo,"iphone, camera, system, takes, prograde, photos, videos, turning, users, creators, go, apple, iphone, gb, vibrant, yellow, masterpiece, technology, aesthetics, leaves, remarkable, impression, moment, one, lays, eyes, expected, apple, build, quality, exceptional, emanating, sense, luxury, durability, notably, yellow, color, adds, unique, touch, personality, giving, refreshing, twist, usual, shades, furthermore, storage, capacity, gb, user, wont, need, worry, running, space, apps, music, memorable, pictureswhen, comes, performance, iphone, outshines, predecessors, device, runs, seamlessly, even, multitasking, numerous, highdemand, apps, showcasing, prowess, apples, latest, chip, also, updated, ios, provides, intuitive, smooth, experience, user, augmented, phones, vibrant, sharp, display, remarkably, even, several, hours, use, device, maintains, cool, indicating, efficient, thermal, managementequally, worth, mentioning, improved, camera, system, iphone, advanced, settings, filters, captures, stunning, photos, professionallevel, detail, color, accuracy, addition, video, capabilities, second, none, making, perfect, companion, vloggers, content, creators, summary, apple, iphone, gb, yellow, stands, aesthetically, also, raises, bar, smartphone, performance, features, indeed, perfect, blend, form, function",Colour: YellowSize: 128 GB,India
14-03-2023,5,Best of All,Best Variant of All. I had tried three variants of 14 plus but this feels best in them all â¤ï¸,Best of All Best Variant of All. I had tried three variants of 14 plus but this feels best in them all â¤ï¸,best of all best variant of all i had tried three variants of 14 plus but this feels best in them all âï,positivo,"best, best, variant, tried, three, variants, plus, feels, best, âï",Colour: YellowSize: 128 GB,India
04-11-2022,5,Very Good Product,Value for Money,Very Good Product Value for Money,very good product value for money,positivo,"good, product, value, money",Colour: MidnightSize: 256 GB,India
05-11-2022,5,Nice phone,Nice,Nice phone Nice,nice phone nice,positivo,"nice, phone, nice",Colour: MidnightSize: 256 GB,India
13-10-2023,1,Battery backup not good,I have purchased two months back. Battery capacity started reducing. Now it is showing 98% after 1st software updation.,Battery backup not good I have purchased two months back. Battery capacity started reducing. Now it is showing 98% after 1st software updation.,battery backup not good i have purchased two months back battery capacity started reducing now it is showing 98 after 1st software updation,negativo,"battery, backup, good, purchased, two, months, back, battery, capacity, started, reducing, showing, software, updation",Colour: MidnightSize: 256 GB,India
12-06-2023,1,Not to buy from Amazon India. Buy only from Authorised Dealer.,"I have bought iphone 14 from Amazon India two months before. but now facing hardware issues such as screen freezes. Now it is completely freezes, touch response gone. So dont trust from online. It may be damaged. Buy only from Authorised Dealer.","Not to buy from Amazon India. Buy only from Authorised Dealer. I have bought iphone 14 from Amazon India two months before. but now facing hardware issues such as screen freezes. Now it is completely freezes, touch response gone. So dont trust from online. It may be damaged. Buy only from Authorised Dealer.",not to buy from amazon india buy only from authorised dealer i have bought iphone 14 from amazon india two months before but now facing hardware issues such as screen freezes now it is completely freezes touch response gone so dont trust from online it may be damaged buy only from authorised dealer,negativo,"buy, amazon, india, buy, authorised, dealer, bought, iphone, amazon, india, two, months, facing, hardware, issues, screen, freezes, completely, freezes, touch, response, gone, dont, trust, online, may, damaged, buy, authorised, dealer",Colour: MidnightSize: 256 GB,India
19-07-2023,1,No invoice,"The product packaging was looking very old and diamaged condition,there is no invoice for the product.","No invoice The product packaging was looking very old and diamaged condition,there is no invoice for the product.",no invoice the product packaging was looking very old and diamaged conditionthere is no invoice for the product,negativo,"invoice, product, packaging, looking, old, diamaged, conditionthere, invoice, product",Colour: MidnightSize: 256 GB,India
07-08-2023,1,Not in properly working,Defective item,Not in properly working Defective item,not in properly working defective item,negativo,"properly, working, defective, item",Colour: MidnightSize: 256 GB,India
23-12-2022,2,Same as 13,Bought 2 phones together one Iphone 14 and Samsung S22 in term of spec and durability definitely Samsung won this time. Comparing battery we can say apple does the best job in this series but in term of price its not that much worthful. Could be better designed for such range price.,Same as 13 Bought 2 phones together one Iphone 14 and Samsung S22 in term of spec and durability definitely Samsung won this time. Comparing battery we can say apple does the best job in this series but in term of price its not that much worthful. Could be better designed for such range price.,same as 13 bought 2 phones together one iphone 14 and samsung s22 in term of spec and durability definitely samsung won this time comparing battery we can say apple does the best job in this series but in term of price its not that much worthful could be better designed for such range price,positivo,"bought, phones, together, one, iphone, samsung, term, spec, durability, definitely, samsung, time, comparing, battery, say, apple, best, job, series, term, price, much, worthful, could, better, designed, range, price",Colour: MidnightSize: 256 GB,India
24-01-2023,5,Superhero,This is one of the all rounder excellent quality smartphone I would say.,Superhero This is one of the all rounder excellent quality smartphone I would say.,superhero this is one of the all rounder excellent quality smartphone i would say,positivo,"superhero, one, rounder, excellent, quality, smartphone, would, say",Colour: MidnightSize: 256 GB,India
12-12-2022,5,Old habits go down with this,"Life changer, thatâ€™s a quality and makes u fit in society","Old habits go down with this Life changer, thatâ€™s a quality and makes u fit in society",old habits go down with this life changer thatâs a quality and makes u fit in society,positivo,"old, habits, go, life, changer, thatâs, quality, makes, u, fit, society",Colour: MidnightSize: 256 GB,India
30-04-2023,5,Worth Buy,"Nothing much to say anything about the Brand, but the Purple Color is beautiful on I-Phone 14. Product came so safely with a secure package. Genuine Product and definitely would recommend to buy it from Amazon.","Worth Buy Nothing much to say anything about the Brand, but the Purple Color is beautiful on I-Phone 14. Product came so safely with a secure package. Genuine Product and definitely would recommend to buy it from Amazon.",worth buy nothing much to say anything about the brand but the purple color is beautiful on iphone 14 product came so safely with a secure package genuine product and definitely would recommend to buy it from amazon,positivo,"worth, buy, nothing, much, say, anything, brand, purple, color, beautiful, iphone, product, came, safely, secure, package, genuine, product, definitely, would, recommend, buy, amazon",Colour: PurpleSize: 128 GB,India
29-04-2023,4,Cinematic video Mode is Awesome ðŸ‘,Photos Pickup Real Clours.But In Video Cinematic Mode is Awesome ðŸ’¯,Cinematic video Mode is Awesome ðŸ‘ Photos Pickup Real Clours.But In Video Cinematic Mode is Awesome ðŸ’¯,cinematic video mode is awesome ðÿ photos pickup real cloursbut in video cinematic mode is awesome ðÿ,positivo,"cinematic, video, mode, awesome, ðÿ, photos, pickup, real, cloursbut, video, cinematic, mode, awesome, ðÿ",Colour: PurpleSize: 128 GB,India
03-09-2023,5,Design,Screen is best in industry,Design Screen is best in industry,design screen is best in industry,positivo,"design, screen, best, industry",Colour: PurpleSize: 128 GB,India
20-04-2023,4,Nice Product,Amazing phone with amazing camera* must buy one,Nice Product Amazing phone with amazing camera* must buy one,nice product amazing phone with amazing camera must buy one,positivo,"nice, product, amazing, phone, amazing, camera, must, buy, one",Colour: PurpleSize: 128 GB,India
27-08-2023,5,Worth for ðŸ’° money,Overall a good experience.,Worth for ðŸ’° money Overall a good experience.,worth for ðÿ money overall a good experience,positivo,"worth, ðÿ, money, overall, good, experience",Colour: PurpleSize: 128 GB,India
27-08-2023,5,Genuine product,Genuine product with great exchange price,Genuine product Genuine product with great exchange price,genuine product genuine product with great exchange price,positivo,"genuine, product, genuine, product, great, exchange, price",Colour: PurpleSize: 128 GB,India
15-10-2023,5,Excellent,Excellent,Excellent Excellent,excellent excellent,positivo,"excellent, excellent",Colour: PurpleSize: 128 GB,India
23-12-2022,5,Great Upgrade,I was using an XR earlier and the upgrade for me personally is great. But u can go for the 13 if ur on a budget which is available at almost 10k less and has similar features and honestly u cant tell them apart.,Great Upgrade I was using an XR earlier and the upgrade for me personally is great. But u can go for the 13 if ur on a budget which is available at almost 10k less and has similar features and honestly u cant tell them apart.,great upgrade i was using an xr earlier and the upgrade for me personally is great but u can go for the 13 if ur on a budget which is available at almost 10k less and has similar features and honestly u cant tell them apart,positivo,"great, upgrade, using, xr, earlier, upgrade, personally, great, u, go, ur, budget, available, almost, less, similar, features, honestly, u, cant, tell, apart",Colour: PurpleSize: 128 GB,India
29-07-2023,5,Good condition mobile phone,"Product is good,  but package quality is not good","Good condition mobile phone Product is good,  but package quality is not good",good condition mobile phone product is good  but package quality is not good,negativo,"good, condition, mobile, phone, product, good, package, quality, good",Colour: PurpleSize: 128 GB,India
20-05-2023,5,Over heating,"It is just 10 days that I have bought a new iphone 14, it is just getting over heated while using.","Over heating It is just 10 days that I have bought a new iphone 14, it is just getting over heated while using.",over heating it is just 10 days that i have bought a new iphone 14 it is just getting over heated while using,neutro,"heating, days, bought, new, iphone, getting, heated, using",Colour: PurpleSize: 128 GB,India
24-07-2023,5,Perfect condition and original!,The phone is just perfect and the delivery came before time . The packaging was perfect too .,Perfect condition and original! The phone is just perfect and the delivery came before time . The packaging was perfect too .,perfect condition and original the phone is just perfect and the delivery came before time  the packaging was perfect too ,positivo,"perfect, condition, original, phone, perfect, delivery, came, time, packaging, perfect",Colour: YellowSize: 128 GB,India
24-08-2023,5,best,dood,best dood,best dood,positivo,"best, dood",Colour: YellowSize: 128 GB,India
07-08-2023,5,Good phone,Cheez to badhiya hai but mehenga hai,Good phone Cheez to badhiya hai but mehenga hai,good phone cheez to badhiya hai but mehenga hai,positivo,"good, phone, cheez, badhiya, hai, mehenga, hai",Colour: YellowSize: 128 GB,India
25-09-2023,5,Nice,Nice,Nice Nice,nice nice,positivo,"nice, nice",Colour: YellowSize: 128 GB,India
07-08-2023,5,goods,superb,goods superb,goods superb,positivo,"goods, superb",Colour: YellowSize: 128 GB,India
14-06-2023,5,Really good one,Colour was nice and Really cool,Really good one Colour was nice and Really cool,really good one colour was nice and really cool,positivo,"really, good, one, colour, nice, really, cool",Colour: YellowSize: 128 GB,India
27-06-2023,5,Good,Good,Good Good,good good,positivo,"good, good",Colour: YellowSize: 128 GB,India
17-06-2023,5,Decent quality,Thank you,Decent quality Thank you,decent quality thank you,positivo,"decent, quality, thank",Colour: YellowSize: 128 GB,India
27-05-2023,5,Pefect loved it,,Pefect loved it ,pefect loved it ,positivo,"pefect, loved",Colour: YellowSize: 128 GB,India
15-04-2023,5,Excellent,Very good,Excellent Very good,excellent very good,positivo,"excellent, good",Colour: YellowSize: 128 GB,India
02-05-2023,1,Not upto iphone standards,"the phone heats up abnormally, not a good sign for a brand new phone.","Not upto iphone standards the phone heats up abnormally, not a good sign for a brand new phone.",not upto iphone standards the phone heats up abnormally not a good sign for a brand new phone,negativo,"upto, iphone, standards, phone, heats, abnormally, good, sign, brand, new, phone",Colour: YellowSize: 128 GB,India
30-07-2023,1,Do not buy,Do not buy from Amazon,Do not buy Do not buy from Amazon,do not buy do not buy from amazon,negativo,"buy, buy, amazon",Colour: YellowSize: 128 GB,India
24-06-2023,2,Not made in India,Its just packed in india and still its made in china product .. i wont buy it .. apple is just trying to bluff by just packing it in india!,Not made in India Its just packed in india and still its made in china product .. i wont buy it .. apple is just trying to bluff by just packing it in india!,not made in india its just packed in india and still its made in china product  i wont buy it  apple is just trying to bluff by just packing it in india,neutro,"made, india, packed, india, still, made, china, product, wont, buy, apple, trying, bluff, packing, india",Colour: YellowSize: 128 GB,India
12-12-2023,1,Exchange value is unexpected low,Exchange value is farji thak h sabhi 34000 ka phone 10 mahine age inki rate 7700 laga rahe h thag h,Exchange value is unexpected low Exchange value is farji thak h sabhi 34000 ka phone 10 mahine age inki rate 7700 laga rahe h thag h,exchange value is unexpected low exchange value is farji thak h sabhi 34000 ka phone 10 mahine age inki rate 7700 laga rahe h thag h,positivo,"exchange, value, unexpected, low, exchange, value, farji, thak, h, sabhi, ka, phone, mahine, age, inki, rate, laga, rahe, h, thag, h",Colour: YellowSize: 128 GB,India
23-08-2023,1,Not satisfied with the overall product,"Not satisfied with the overall product, performance issues, need immediate refund so that i can purchase another iphone . .","Not satisfied with the overall product Not satisfied with the overall product, performance issues, need immediate refund so that i can purchase another iphone . .",not satisfied with the overall product not satisfied with the overall product performance issues need immediate refund so that i can purchase another iphone  ,negativo,"satisfied, overall, product, satisfied, overall, product, performance, issues, need, immediate, refund, purchase, another, iphone",Colour: YellowSize: 128 GB,India
20-03-2023,1,Not worth,"Not happy about the product design, features and specification. Have better products available at this price range. Not worth to buy.","Not worth Not happy about the product design, features and specification. Have better products available at this price range. Not worth to buy.",not worth not happy about the product design features and specification have better products available at this price range not worth to buy,positivo,"worth, happy, product, design, features, specification, better, products, available, price, range, worth, buy",Colour: YellowSize: 128 GB,India
10-04-2024,1,Worst phone don't buy guys,In thus price range better to go for samsung s24 or ultra apple is remaking the same iphone Xr for years with some changes that's it its a loot businesss,Worst phone don't buy guys In thus price range better to go for samsung s24 or ultra apple is remaking the same iphone Xr for years with some changes that's it its a loot businesss,worst phone dont buy guys in thus price range better to go for samsung s24 or ultra apple is remaking the same iphone xr for years with some changes thats it its a loot businesss,negativo,"worst, phone, dont, buy, guys, thus, price, range, better, go, samsung, ultra, apple, remaking, iphone, xr, years, changes, thats, loot, businesss",Colour: YellowSize: 128 GB,India
24-04-2023,3,Product is genuine but packaging is not up to the mark.,"Packaging is not good, I see it has been damaged on the corner. Amazon needs to be more careful while delivering expensive products. Hope it will not happen again.","Product is genuine but packaging is not up to the mark. Packaging is not good, I see it has been damaged on the corner. Amazon needs to be more careful while delivering expensive products. Hope it will not happen again.",product is genuine but packaging is not up to the mark packaging is not good i see it has been damaged on the corner amazon needs to be more careful while delivering expensive products hope it will not happen again,positivo,"product, genuine, packaging, mark, packaging, good, see, damaged, corner, amazon, needs, careful, delivering, expensive, products, hope, happen",Colour: MidnightSize: 128 GB,India
30-05-2024,1,Worst sound quality i have ever used,"The bottom speaker sound quality is very bad and service refuse to accept it.  Amazon refused to replace it. Totall waste of money, i recommended not to buy iphone online!!!","Worst sound quality i have ever used The bottom speaker sound quality is very bad and service refuse to accept it.  Amazon refused to replace it. Totall waste of money, i recommended not to buy iphone online!!!",worst sound quality i have ever used the bottom speaker sound quality is very bad and service refuse to accept it  amazon refused to replace it totall waste of money i recommended not to buy iphone online,negativo,"worst, sound, quality, ever, used, bottom, speaker, sound, quality, bad, service, refuse, accept, amazon, refused, replace, totall, waste, money, recommended, buy, iphone, online",Colour: MidnightSize: 128 GB,India
03-07-2023,1,Defective camera sensor in iPhone 14,"See how the video is shaking while recording! Defective iPhone delivered just 2 days ago, and after asking for replacement, Amazon guys are saying that itâ€™s not their responsibility, better visit a service centre! Now my last resort is left towards consumer forum! Severe harassment!!!A piece of advice must be adhered:Never ever buy expensive product on Amazon!","Defective camera sensor in iPhone 14 See how the video is shaking while recording! Defective iPhone delivered just 2 days ago, and after asking for replacement, Amazon guys are saying that itâ€™s not their responsibility, better visit a service centre! Now my last resort is left towards consumer forum! Severe harassment!!!A piece of advice must be adhered:Never ever buy expensive product on Amazon!",defective camera sensor in iphone 14 see how the video is shaking while recording defective iphone delivered just 2 days ago and after asking for replacement amazon guys are saying that itâs not their responsibility better visit a service centre now my last resort is left towards consumer forum severe harassmenta piece of advice must be adherednever ever buy expensive product on amazon,negativo,"defective, camera, sensor, iphone, see, video, shaking, recording, defective, iphone, delivered, days, ago, asking, replacement, amazon, guys, saying, itâs, responsibility, better, visit, service, centre, last, resort, left, towards, consumer, forum, severe, harassmenta, piece, advice, must, adherednever, ever, buy, expensive, product, amazon",Colour: MidnightSize: 128 GB,India
22-03-2024,1,Not valuable for money,Gets hanged in 3 months only what is this APPLE,Not valuable for money Gets hanged in 3 months only what is this APPLE,not valuable for money gets hanged in 3 months only what is this apple,negativo,"valuable, money, gets, hanged, months, apple",Colour: MidnightSize: 128 GB,India
26-10-2023,1,heating problem,"This phone, i phone 14 is performing well, except some features.During calling it became very hot within 10 minutes. Purchased on 21st, applied for replacement on 26th ( last date is 28th), but Amazon refused to replace and wrote the product is out of stock.","heating problem This phone, i phone 14 is performing well, except some features.During calling it became very hot within 10 minutes. Purchased on 21st, applied for replacement on 26th ( last date is 28th), but Amazon refused to replace and wrote the product is out of stock.",heating problem this phone i phone 14 is performing well except some featuresduring calling it became very hot within 10 minutes purchased on 21st applied for replacement on 26th  last date is 28th but amazon refused to replace and wrote the product is out of stock,negativo,"heating, problem, phone, phone, performing, well, except, featuresduring, calling, became, hot, within, minutes, purchased, applied, replacement, last, date, amazon, refused, replace, wrote, product, stock",Colour: MidnightSize: 128 GB,India
